candidate_capability,legacy_source,primary_owner_wave,candidate_execution_target,side_effect_class,risk_class,candidate_consumers,status,notes
agent.plan.phase.advance,AgentAdvancePhase,W05,LOCAL_SERVICE,INTERNAL_STATE,MEDIUM,W04/W05/W17,SEED_ONLY_NOT_CANONICAL,"Behavioral primitive, not authority."
agent.task.complete,AgentEndTask,W05,LOCAL_SERVICE,INTERNAL_STATE,MEDIUM,W04/W05/W17,SEED_ONLY_NOT_CANONICAL,
task.schedule,AgentScheduleTask,W04,LOCAL_SERVICE,INTERNAL_STATE,MEDIUM,W03/W04/W05,SEED_ONLY_NOT_CANONICAL,Must use durable timer/dispatch semantics.
agent.plan.update,AgentUpdatePlan,W05,LOCAL_SERVICE,INTERNAL_STATE,MEDIUM,W04/W05/W17,SEED_ONLY_NOT_CANONICAL,
browser.navigate,BrowserNavigate,W04,DEVICE_OR_LOCAL_SERVICE,EXTERNAL_READ,MEDIUM,W05/W07/W15/W19,SEED_ONLY_NOT_CANONICAL,Computer-use/browser execution requires explicit risk policy and evidence.
browser.view,BrowserView,W04,DEVICE_OR_LOCAL_SERVICE,READ,LOW,W05/W07/W15/W19,SEED_ONLY_NOT_CANONICAL,Computer-use/browser execution requires explicit risk policy and evidence.
browser.interact.click,BrowserClick,W04,DEVICE_OR_LOCAL_SERVICE,EXTERNAL_SIDE_EFFECT,HIGH,W05/W07/W15/W19,SEED_ONLY_NOT_CANONICAL,Computer-use/browser execution requires explicit risk policy and evidence.
browser.interact.input,BrowserInput,W04,DEVICE_OR_LOCAL_SERVICE,EXTERNAL_SIDE_EFFECT,HIGH,W05/W07/W15/W19,SEED_ONLY_NOT_CANONICAL,Computer-use/browser execution requires explicit risk policy and evidence.
browser.pointer.move,BrowserMoveMouse,W04,DEVICE_OR_LOCAL_SERVICE,LOCAL_UI,MEDIUM,W05/W07/W15/W19,SEED_ONLY_NOT_CANONICAL,Computer-use/browser execution requires explicit risk policy and evidence.
browser.key.press,BrowserPressKey,W04,DEVICE_OR_LOCAL_SERVICE,EXTERNAL_SIDE_EFFECT,HIGH,W05/W07/W15/W19,SEED_ONLY_NOT_CANONICAL,Computer-use/browser execution requires explicit risk policy and evidence.
browser.capture.image,BrowserSaveImage,W04,DEVICE_OR_LOCAL_SERVICE,LOCAL_WRITE,MEDIUM,W05/W07/W15/W19,SEED_ONLY_NOT_CANONICAL,Computer-use/browser execution requires explicit risk policy and evidence.
browser.scroll,BrowserScrollDown/BrowserScrollUp,W04,DEVICE_OR_LOCAL_SERVICE,LOCAL_UI,LOW,W05/W07/W15/W19,SEED_ONLY_NOT_CANONICAL,Computer-use/browser execution requires explicit risk policy and evidence.
