wave,aurora_surface,toca_source_families,use,classification,hard_constraint
W02,Identity/Tenant/Policy/Authority,core identity/autonomy; governance approvals; tenancy; privacy,"Harvest negative tests, tenant binding, approval lifecycle, consent/privacy semantics.",REFERENCE_ONLY_NO_PARALLEL_AUTHORITY,Aurora W02 Policy Engine/PolicyToken/OwnerDecision remain canonical.
W03,Persistence/Event Backbone,"events, migrations 007/009/011, scheduler, workflow, persistence",Promote outbox/inbox/idempotency/claim/replay/lease/reconciliation patterns.,HIGH_VALUE_PLATFORM_PATTERN,Use EventEnvelope/canonical IDs; do not copy TOCA event contracts wholesale.
W04,Capability Planning/Registry,governance capability catalog/IDs/lifecycle/resolution; MCP resolver,Use vocabulary/metadata/lifecycle/availability as seed.,HIGH_VALUE_PLATFORM_PATTERN,Target-neutral names; availability/precheck never authority.
W05,Intelligence Runtime,orchestrator structured decisions/safety/model adapter,Use structured decision and durable follow-up behavior as benchmark/reference.,BEHAVIOR_REFERENCE,Do not reproduce TOCA-specific orchestrator as a central god object.
W06,Context Engine,"creative truth, asset intelligence, knowledge/content provenance",Use provenance/truth/freshness concepts as context-source patterns.,CONCEPT_REFERENCE,Add Aurora tenant/classification/consent/freshness/trust rules.
W07,Executor Plane,core executor/failure containment; approval atomicity; local subprocess negative cases,Use reserve→execute→readback→consume and uncertainty/reconcile semantics.,HIGHEST_VALUE_EXECUTOR_REFERENCE,Operational readiness/current authority must be mandatory; subprocess behind governed LOCAL_SERVICE target.
W08,Provider Adapters,"providers, secret manager, connected accounts",Use provider client/readback/health/auth metadata patterns.,HIGH_VALUE_PROVIDER_REFERENCE,Provider credential ≠ authority; no TOCA account binding copied.
W09,Governed Integration Fabric,"MCP core surfaces/runtime resolver, workflow contracts, durable follow-up",Use interface/binding/human-control patterns.,PLATFORM_INTERFACE_REFERENCE,"MCP/n8n remain execution fabric, never source of truth or authority."
W10,Revenue/CRM,"crm, omnichannel, measurement attribution/revenue, sales persistence",Use domain behavior/read models/eval fixtures.,VERTICAL_REFERENCE,TOCA business rules stay vertical.
W11,Organic/Community,Instagram publication/engagement/scheduler/knowledge/creative pipelines,"Use provider workflows, reconciliation, content/engagement scenarios.",VERY_HIGH_VERTICAL_VALUE,Generic executor/authority remains W07/W02.
W12,Meta Ads,"Meta Ads smoke/diagnostic gates, paid-media decision engine, geo demand stores","Use preparation, paused-write, financial/risk/readback scenarios.",VERY_HIGH_VERTICAL_VALUE,No confidence-driven financial autonomy.
W13,Google Ads,Google Ads API client/account verifier/paid media/read smoke,"Use as direct provider/domain reference, filling prior n8n coverage gap.",VERY_HIGH_VERTICAL_VALUE,Rebind credentials/authority/budget/readback to Aurora.
W14,Gateway/Realtime,HTTP/orchestrator gateway/runtime communication patterns,Use command/session/API boundary concepts where useful.,INTERFACE_REFERENCE,Do not inherit TOCA deployment/session assumptions.
W15,Device Plane,minimal direct value,Only generic local-service/executor lessons; no Android runtime implementation source.,LOW_DIRECT_VALUE,No artificial device/provider mapping.
W16,Workspace,"MCP human control center, approval/readback/evidence surfaces",Use UX/read-model concepts.,UX_REFERENCE,UI cannot mint authority.
W17,Observability/SLO/DR,"audit ledger, reliability, SLO catalog, watchdog, capacity, CI/ops","Use metrics, error budgets, verified-write alerts, backup/PITR/restore drills.",HIGHEST_VALUE_PLATFORM_PATTERN,Calibrate Aurora thresholds; evidence chain canonical.
W18,Evals/Adaptive Strategy,"experimentation engine, learning governance, closed-loop runner, rollout lifecycle",Use eval/shadow/canary/promotion signal patterns.,HIGH_VALUE_EVAL_REFERENCE,No direct online self-promotion; rollbackable evidence-based activation only.
W19,Security/Trust,"privacy, tenancy, secret refs/gitleaks, autonomy safety, local-process corpus",Use threat/negative tests and configuration patterns.,HIGH_VALUE_SECURITY_REFERENCE,No secret values; cross-repo code copy requires provenance/licensing review.
W20,Integrated Staging/Release,"CI workflows, release lifecycle, resilience drills, runbooks/E2E","Use acceptance evidence structure, staging gates and failure scenarios.",HIGH_VALUE_RELEASE_REFERENCE,TOCA production success does not equal Aurora acceptance.
