path,primary_class,lifecycle,flags
".gitignore","ACTIVE_CANONICAL","ACTIVE",""
"README.md","ACTIVE_CANONICAL","ACTIVE",""
"apps/aurora-android/STATUS.md","SCAFFOLD_ACTIVE","ACTIVE",""
"apps/aurora-desktop/legacy-reference/face/interface/html/index.html","LEGACY_REFERENCE","ACTIVE","BROKEN_REFERENCE"
"apps/aurora-desktop/legacy-reference/face/interface/main.js","LEGACY_REFERENCE","ACTIVE","BROKEN_REFERENCE"
"apps/aurora-desktop/legacy-reference/face/interface/package.json","LEGACY_REFERENCE","ACTIVE","BROKEN_REFERENCE"
"apps/aurora-desktop/legacy-reference/face/interface/scripts/voice-interface-bridge.js","LEGACY_REFERENCE","ACTIVE",""
"apps/aurora-desktop/legacy-reference/face/interface/voice-websocket-bridge.js","LEGACY_REFERENCE","ACTIVE","BROKEN_REFERENCE"
"apps/aurora-desktop/legacy-reference/face/preload/preload.js","LEGACY_REFERENCE","ACTIVE","BROKEN_REFERENCE"
"catalog/n8n/STATUS.md","SCAFFOLD_ACTIVE","ACTIVE",""
"docs/migration/ANDROID_UI_PORTING_PLAN.md","BROKEN_REFERENCE","ACTIVE","STALE_PATH_ASSERTION"
"docs/migration/BASELINE_STATS.json","ACTIVE_CANONICAL","ACTIVE",""
"docs/migration/FILE_MAPPING.csv","ACTIVE_CANONICAL","ACTIVE","TARGET_MAPPING"
"docs/migration/GITHUB_IMPORT_STATUS.md","ACTIVE_CANONICAL","ACTIVE",""
"docs/migration/IMPORT_CLASSIFICATION_v0.3.md","ACTIVE_CANONICAL","ACTIVE",""
"docs/migration/STRUCTURE_STATUS.csv","BROKEN_REFERENCE","ACTIVE","STALE_LIVE_INVENTORY"
"docs/security/SECURITY_NOTICE.md","ACTIVE_CANONICAL","ACTIVE",""
"evals/STATUS.md","SCAFFOLD_ACTIVE","ACTIVE",""
"infra/STATUS.md","SCAFFOLD_ACTIVE","ACTIVE",""
"packages/contracts/STATUS.md","SCAFFOLD_ACTIVE","ACTIVE",""
"reference/original-manus/manus/config/SECURITY_NOTICE.txt","REFERENCE_ONLY","ACTIVE","DUPLICATE"
"services/agent-runtime/STATUS.md","SCAFFOLD_ACTIVE","ACTIVE",""
"services/agent-runtime/legacy-manus-reference/manus/agent/__init__.py","LEGACY_REFERENCE","ACTIVE",""
"services/agent-runtime/legacy-manus-reference/manus/agent/agent_advance_phase.py","LEGACY_REFERENCE","ACTIVE","PLACEHOLDER_VERIFIED"
"services/agent-runtime/legacy-manus-reference/manus/agent/agent_end_task.py","LEGACY_REFERENCE","ACTIVE",""
