risk_id,risk,waves,severity,trigger_evidence,failure_mode,control_aurora_decision,toca_reference
TMR-001,Optional operational-readiness enforcement in generic executor,W07,HIGH,executeTool passes enforceOperationalReadiness ?? false,Aurora side-effect execution could bypass readiness if copied verbatim.,Treat as negative requirement; W07 side-effect validation fail-closed and non-optional.,src/core/executor.ts
TMR-002,Parallel authority model,W02/W07,HIGH,TOCA ApprovalRecord/AutonomyAuthorityLevel are mature but non-canonical for Aurora.,Copying creates duplicate authority semantics/source of truth.,Reuse lifecycle/test scenarios only; map to PolicyToken/OwnerDecision/current Policy validation.,src/governance/approval-governance.ts
TMR-003,Direct subprocess execution in creative/local providers,W07/W08/W11,HIGH,child_process appears in production src creative/local tooling.,Planner/model could gain hidden process-execution path if copied.,"Expose only behind governed LOCAL_SERVICE executor binding with allowlist, sandbox, timeout, evidence.",src/creative/artist-segmentation.ts; src/creative/sunset-story-rasterizer.ts
TMR-004,TOCA domain coupling in capability/route catalog,W04,MEDIUM,Capabilities/routes encode TOCA/Instagram/marketing semantics.,Core registry may become vertical-specific.,W04 accepts/rejects/renames/decomposes and stays target-neutral.,src/governance/capability-catalog.ts
TMR-005,TOCA-specific provider credentials/account bindings,W08/W11-W13,HIGH,Provider code references concrete Meta/Google/TOCA account constraints.,Cross-tenant/account leakage or accidental production targeting.,Rebuild binding layer with Aurora tenant/identity/credential refs and explicit target account constraints.,src/providers/**
TMR-006,Threshold portability,W17/W18,MEDIUM,TOCA SLO/budget thresholds reflect another system/workload.,Incorrect Aurora operational decisions if copied.,Reuse dimensions/mechanics; recalibrate with Aurora telemetry/evals.,src/core/reliability.ts; src/core/platform-slo-catalog.ts
TMR-007,Closed-loop marketing automation,W18,HIGH,Closed-loop runner can become precedent for online self-adjustment.,Unsafe self-promotion/cost or policy drift.,Observation→Eval→candidate→SHADOW/CANARY→LearningPromotionRecord→rollback.,src/learning/marketing-autopilot-closed-loop-runner.ts
TMR-008,Cross-repository licensing/provenance,ALL,MEDIUM,No LICENSE file found at audited commit; package is private=true.,Direct source copying can create provenance/legal ambiguity.,Default semantic re-specification; document source SHA; explicit provenance/license review before verbatim code promotion.,repository root
TMR-009,CI/deployment workflow coupling,W17/W20,MEDIUM,Workflows encode GCP/TOCA service assumptions.,Aurora release process could inherit wrong infrastructure authority/secrets.,Reuse gate/evidence structure only; rebuild deployment workflows under Aurora ownership., .github/workflows/**
TMR-010,MCP surface confused with authority,W09/W16,HIGH,MCP exposes tools and human control surfaces.,Tool exposure/UI action could be misread as permission.,Capability exposure and UI are non-authoritative; current Policy/Authority/W07 execution still mandatory.,src/mcp/**
TMR-011,Provider verification confused with authorization,W08/W12/W13,HIGH,Account/provider verification is a strong precondition.,Verified provider/account could be treated as permission to mutate.,"Verification/health/readiness are conditions only, never executable authority.",src/providers/**; src/core/autonomy-gate.ts
TMR-012,Duplicate external side effects on timeout/replay,W03/W07/W11-W13,CRITICAL,TOCA has reconciliation/readback patterns precisely because writes can become ambiguous.,Blind retries can duplicate posts/messages/spend changes.,"Preserve reconcile-before-retry, idempotency keys, provider readback and EXECUTION_UNCERTAIN semantics.",src/core/executor.ts; src/events/**; src/providers/**
